fecha,usd_clp,cobre_usd,eur_clp,uf_clp,oni_index,usd_clp_change_7d,usd_clp_change_30d,usd_clp_rolling_30d,cobre_change_30d,is_el_nino,is_la_nina,oni_squared
2025-06-18,939.29,4.44,1078.4,39235.7,-0.05,0.0004366905248807118,-0.005474027486606192,937.837,0.01834862385321112,0,0,0.0025000000000000005
2025-06-19,943.36,4.44,1084.45,39238.31,-0.05333333333333334,0.007475757187406451,0.007120819054329486,938.0593333333334,0.032558139534883956,0,0,0.002844444444444445
2025-06-20,944.2775,4.4375,1085.2225,39240.93,-0.05666666666666667,0.015079279763504427,0.005138644951833582,938.2202500000001,0.028389339513325673,0,0,0.0032111111111111116
2025-06-21,945.1949999999999,4.4350000000000005,1085.995,39243.54,-0.06,0.013331403576482659,0.0031680835482534864,938.31975,0.024249422632794504,0,0,0.0036
2025-06-22,946.1125,4.4325,1086.7675,39246.15,-0.06333333333333334,0.01159290899954013,0.0013467888743066148,938.3621666666667,0.023672055427251815,0,0,0.004011111111111112
2025-06-23,947.03,4.43,1087.54,39248.77,-0.06666666666666667,0.009863720702083745,0.0037449346226270386,938.4799444444444,0.023882896764252592,0,0,0.0044444444444444444
2025-06-24,950.16,4.49,1099.59,39251.38,-0.07,0.0159857144384683,0.00849826284468902,938.7468333333333,0.03855050115651504,0,0,0.004900000000000001
2025-06-25,937.89,4.51,1090.19,39254.0,-0.07333333333333333,-0.0014904874958745484,-0.0031037085064996583,938.6494999999999,0.0439814814814814,0,0,0.005377777777777778
2025-06-26,936.29,4.45,1090.99,39256.61,-0.07666666666666666,-0.007494487788331172,-0.0021209020761393527,938.5831666666667,0.01830663615560635,0,0,0.005877777777777777
2025-06-27,930.67,4.45,1091.06,39259.23,-0.08,-0.014410488442221814,-0.007740449713731334,938.3411666666667,0.01830663615560635,0,0,0.0064
2025-06-28,932.36,4.513333333333334,1092.1399999999999,39261.84,-0.08333333333333334,-0.013579208523108899,-0.008349198583295192,938.0795,0.03279938977879482,0,0,0.006944444444444446
2025-06-29,934.05,4.576666666666666,1093.22,39264.46,-0.08666666666666667,-0.012749540884408606,-0.0035418244663260046,937.9688333333335,0.049694189602446315,0,0,0.007511111111111112
2025-06-30,935.74,4.64,1094.3,39267.07,-0.09,-0.01192148084010003,-0.00336917893570865,937.8633888888888,0.06422018348623837,0,0,0.0081
2025-07-01,933.42,4.59,1099.05,39269.69,-0.09333333333333334,-0.017618085375094683,-0.007461073047626887,937.6295000000001,0.05275229357798161,0,0,0.008711111111111112
2025-07-02,926.62,4.56,1091.43,39272.3,-0.09666666666666668,-0.012016334538165419,-0.0162956357421149,937.1178333333334,0.04587155963302725,0,0,0.009344444444444447
2025-07-03,926.51,4.56,1092.97,39274.92,-0.1,-0.010445481634963505,-0.013983930186771687,936.6798333333332,0.05311778290993052,0,0,0.010000000000000002
2025-07-04,927.87,4.59,1090.33,39277.53,-0.10333333333333333,-0.0030085852128036716,-0.014508300319692413,936.2245,0.04555808656036442,0,0,0.010677777777777777
2025-07-05,929.36,4.58,1092.8533333333332,39280.15,-0.10666666666666666,-0.00321764125445112,-0.0080372295573653,935.9735000000001,0.04328018223234631,0,0,0.011377777777777777
2025-07-06,930.85,4.569999999999999,1095.3766666666668,39282.76,-0.11000000000000001,-0.003425940795460547,6.446137152327225e-05,935.9755,0.04100227790432798,0,0,0.012100000000000003
